id_actividad;Nombre_Actividad;Descripcion_Actividad;Responsable_Principal
94;plan mochila;Realizar actividad de prevencion consumo de spa- riñas y hurto en entornos escolares ( ied av maria calle 12 sur kra 4;joana tivaquira- fabian justicia social- seguridad. ponal
95; Actividad de prevencion - consumo parque ramajal;"Realizar actividades de prevencion ley 1801 ( consumo  sustancias prohibidas en espacio publico - "" (parques) - prevencion riñas. parque ramajal- acompañamiento jaime ortiz -secretaria de gobierno";jaime ortiz - fabian justicia.- seguridad.-ponal
96;Sensibilizacion de sana convivencia y prevencion de riñas;Se realiza sensibilizacion de sana convivencia y prevencion de riñas en Colegio Montebello con un curso focalizado por mal comportamiento recomendado por orientadora del mismo;Juan Sebastian Arias
97;Sensibilización ley 1801 de 2016 en PH y recepción de problemáticas en el sector ;Dar a conocer la ley 1801 de 2016 en cuanto a los comportamientos contrarios a convivencia ;Francisco Rodríguez Peñaloza 
98;Levantamiento de informacion Los Alpes la macarena;Atraves de un froms levantar información alrededor de parques , conjuntos y comercio;Roman Gonzalez 
99;Megatoma Territorial Plazoleta el Córdoba ;Se realizará la megatoma en la plazoleta del Córdoba para el control del espacio público ;Andres Mancera
100;Recorrido seguridad y convivencia invasion nueva roma;Realizar recorrido sobre tema de seguridad y convivencia en el barrio nueva roma( invasion) en cumplimiento de mesa de trabajo;IVC.
101;Actividad de prevencion - colegio ied nueva roma;Actividad de prevencion - colegio ied nueva roma- CUMPLIMIENTO MESA DE TRABAJO;FABIAN
102;Reunión con DILE, para estrategias de entornos escolares ;Reunion en conjunto de entidades, en cuanto a planeación de estrategias en entornos escolares.;Laura Guerrero
103;Plan parques (Requisas y sensibilización al consumo de spa);Realizar actividades de sensibilización dirigidas a las personas que se encuentren en el parque, brindando información sobre las sustancias psicoactivas y los riesgos del consumo indebido en espacios públicos, complementadas con operativos de requisa preventivos.;Yohn Fredy rojas 
104;Plan parques (Requisas y sensibilización al consumo de spa);Realizar actividades de sensibilización dirigidas a las personas que se encuentren en el parque, brindando información sobre las sustancias psicoactivas y los riesgos del consumo indebido en espacios públicos, complementadas con operativos de requisa preventivos;Yohn Fredy Rojas 
105;Recorrido con la comunidad;Se llevará a cabo un recorrido de verificación y reconocimiento en el sector, con el propósito de identificar posibles puntos de expendio de microtráfico.;Paola Montealegre 
106;Sensibilizacion consumo  de spa y riñas entorno escolar;Realizar actividad de prevencion consumo de spa- riñas y hurto en  entornos escolares ( mesa de trabajo san jose so) colegio ied san jose so- liceo san jose so.;Fabian - justicia - luis borda seguridad
107;Actividad de prevencion y plan parque;Realizar actividades de prevencion consumo  de spa - riñas - hurtos  parque  sosiego y santa ana;fabian justicia social- jhon rojas seguridad
108;Actividad de prevencion- consumo parque san isidro;"Realizar actividades de prevencion ley 1801 ( consumo de bebidas y sustancias prohibidas en espacio publico - "" (parques) - prevencion riñas";fabian justicia social- juan david seguridad
109;Sensibilización de prevención de riñas y sana convivencia;Se hara una sensibilisacion en rilña y sana conbivencia en el curso focalizado del colegio gran golombia segun la orientacion del mismo;Juan Sebastian Arias
110;Responsabilidad penal en adolescentes ;Responsabilidad penal en adolescentes ;DANIEL GALVIS 
111;Responsabilida penal en adolescentes ;Responsabilidad penal en adolescentes ;DANIEL GALVIS 
112;Capacitación Casa de Justicia ;Asistir a capacitación en casa de justicia.;Roman Gonzalez 
113;Mesa de trabajo - barrio serafina;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;mesa de trabajo compromiso alcalde local- fabian herreera- ximena - carlos melendez- ponal -ivc- parques
114;Campaña de promocion a la denuncia;Sensibilizar a la ciudadanía del sector de santa Rosa, a que participen de la denuncia. ;Ana Aponte
115;Sensibilización ley1801/2016 en PH;Sensibilización a los residentes de la propiedad horizontal ;Francisco Rodríguez Peñaloza 
116;Megatoma De Juan Rey;Realizar acompañamiento con las diferentes entidades en Juan Rey a una megatoma.;Alexander Alarcon
117;ATENCION AL CIUDADANO;Promover la justicia social y la convivencia local en San Cristóbal mediante el diseño y ejecución de estrategias participativas e inclusivas que fortalezcan el tejido comunitario, priorizando las poblaciones más vulnerable, asi como realizar atencion al ciudadano y verificacion de orfeos;FABIAN
118;Actividad de prevencion - consumo parque serafina ;"Realizar actividades de prevencion ley 1801 ( consumo de bebidas y sustancias prohibidas en espacio publico - "" (parques) - prevencion riñas";fabian - justicia social -
119;Feria de servicios;Feria de servicios institucionales;Briam brito
120;Feria de servicios barrio gran Colombia ;Acompañamiento feria de servicios barrio gran Colombia ;Tejido social -karen 
121;Acompañamiento a presupuestos participativos ;Realizar acompañamiento a presupuestos participativos ;Román Gonzalez 
122;Campaña preventiva contra el hurto a personas en transporte público;Sensibilizar a los usuarios en transporte público contra el hurto a personas ;Andres Arias
123;Plan anti extorsión;Se realizará la actividad junto a GAULA y gestores la sensibilización de prevención de extorsion a los comercios del sector del Dollarcity de la Ye;Andres Mancera
124;Acompañamiento a mesa de trabajo ;"Acompañamiento a justicia social para realizar una mesa de trabajo
";Carlos Zuñiga
125;Acompañamiento proyectos participativos ;Realizar acompañamiento a proyectos participativos;Alexander Alarcon 
126;Acompañamiento a presupuestos participativos ;Realizar acompañamiento a presupuestos participativos;Favian Delgado
127;Campaña sensibilización contra el hurto a personas;Sensibilizar a la ciudadanía contra el hurto a personas en transporte público ;Andres Arias
128;Perifoneo  Convocatoria a reunión comunitaria información y creación de zona segura;Realizar perifoneo para invitación a reunión comunitaria en donde se explicara, como crear una zona segura;Heidy Gordo-Justicia Social
129;Acompañamiento a proyectos participativos colegio;Realizar acompañamiento a estudiantes sobre eventos participativos;Alexander Alarcon 
130;Campaña de sensibilización contra el hurto a personas ;Sensibilizar a la ciudadanía sobre el hurto a personas y las precauciones para evitarlas;Andres Arias
131;Acompañamiento presupuestos participativos;Realizar acompañamiento a presupuestos participativos ;Román Gonzalez 
132;Sensibilización ley 1801 de 2016 en P.H y recepción de problemáticas en la comunidad ;Abordar a la comunidad en la entrada de los conjuntos residenciales para darles a conocer los comportamientos contrarios a convivencia ;Francisco Rodríguez Peñaloza 
133;Junta zonal barrio serafina;Generar un espacio de diálogo y participación entre los habitantes del barrio Serafina. con el fin de identificar problemáticas y proponer soluciones conjuntas en materia de seguridad, convivencia y justicia social.;fabian - justicia social- seguridad- ponal
134;JUNTA ZONA BARRIO SERAFINA;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;FABIAN
135;Reunion General ;Reunion de equipo coordinación de nuevas actividades ;Roman Gonzalez 
136;Justicia al barrio ;Asesoría jurídica a comunidad ;Francisco Rodríguez Peñaloza 
137;Plan guitarra ;Sencibilzacion sobre seguridad en transporte público ;Luis Borda 
138;Encuentro comunitario;Generar un espacio de diálogo y participación para identificacion de problematica y proponer soluciones;ponal- fabian herrera justicia
139;encuentro comunitario 20 de julio;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;fabian
140;Instalación mesa de diálogo aprobación plan de trabajo;Desarrollar Actividad comunitaria que fomenten corresponsabilidad en el uso del espacio y bienes públicos, respeto por el medio ambiente y conservación del patrimonio cultural, dentro del marco de la gestión de conflictividades;Ferney Vásquez
141;Encuentro comunitario barrio San José so;Acercamiento entidades y comunidad barrio San José so;Fabian
142;Encuentro comuntario;Encuentro con la policía y la comunidad para escuchar y resolver problemática del sector ;Luis Borda 
143;Recorrido barrio gaviotas;Realizar recorrido problematica barrio gaviotas , problema de inseguridad, convivencia, iluminaria , ruido., alameda del rio, habitabilidad en calle. ;ferney vasquez, fabian , heidy, francisco.equipo justicia social
144;Encuentro comunitario barrio san jose s.o;Escuchar y analizar problematica  , asi mismo brindar soluciones y dejar compromisos ;fabian herrera
145;Presupuestos participativos;sensibilizar a la comunidad en la votación de las distintas iniciativas de las organizaciones sociales y juntas de acción comunal de la localidad de San Cristóbal. ;Enrique Sánchez
146;Campaña de sensibilización transporte público ;Sensibilización a los usuarios de transporte público ;Favian Delgado 
147;Justicia al barrio ;Asesoría jurídica a la comunidad ;Francisco Rodríguez/ Heidy Gordo 
148;Recorrido la gloria ;Realizar verificación cumplimiento compromisos ;Heidy - Fabián-francisco 
149;Campaña de sensibilización extorsión gaula;Sensibilización al sector comercio y comunidad frente a la extorsión;Ana Aponte
150;Acompañamiento a un requerimiento justicia social ;Realizar acompañamiento justicia social ;Carlos Zuñiga
151;Campaña de sensibilización extorsión gaula ;sensibilizar a comercio sobre  la extorsión gaula en compañía de gaula;Ana Aponte
152;Mesa De Trabajo;se hará acompañamiento a la comunidad del barrio: Granada Sur con el fin de mirar las tareas y soluciones a las distintas problemáticas que se están presentando en el barrio con la comunidad en general.;Enrique Sánchez
153;Reunion entornos escolares codigo nacional de seguridad y convivencia ;Presentar un modelo para los estudiantes sobre convicencia ;Laura Guerrero
154;Campaña prevención hurto de vehiculos;Sensibilización sobre precauciones al hurto de vehiculos;Favian Delgado 
155;Sensibilización con gaula de extorsión ;Sensibilización en comercio frente a la extorsión con gaula, brindando líneas de atención.;Luis Carrasco
156;Plan Guitarra la Península ;Acompañamiento a estudiantes a la salida del colegio ;Hector Lopez 
157;Sensibilización ley 1801/2016;Abordar a la comunidad de manera individual para darle a conocer los comportamientos contrarios a convivencia para reducir conflictos ;Francisco Rodríguez Peñaloza 
158;Extorcion gaula;Sencibilzacion sobre extorcion comercio ;Luis Borda 
159;Plan guitarra ;Sencibilzacion transporte público;Luis Borda 
160;Plan Guitarra;realizar sensibilización a la comunidad en general en los diferentes paraderos del SITP y alimentadores de la localidad de San Cristóbal.;Enrique Sánchez
161;Campaña Identificación de riesgos Santa Rosa;Identificar riesgos y problemáticas santa rosa;Ana Aponte
162;Campaña con gaula extorsión en comercio;Sensibilización a el sector comercio sobre líneas de atención y cuando es extorsión ;Fabian Delgado 
163;Plan Guitarra Libertadores ;Sensibilización en transporte público y requisas en paraderos ;Vivian Valvuena 
164;Sensibilización ley 1801-2016 y recepción de problemáticas del sector ;Sensibilización a la comunidad sobre convivencia ciudadana ;Francisco Rodríguez Peñaloza 
165;Encuentro comunitario ;Recibir las problemáticas de la comidad ;Francisco Rodríguez Peñaloza 
166;Encuentro Comunitario;realizar acompañamiento a la comunidad del barrio: Valparaíso de la UPZ 51 con el fin de escuchar las problemáticas especialmente con lo relacionado a la seguridad y dar posibles soluciones.   ;Enrique Sánchez
167;Recorrido Diagnostico de puntos levantamiento de problemáticas;Recorrido con la comunidad con el objetivo de levantar puntos de referencia de diferentes problemáticas;Ferney Vásquez Moreno José Elkin Olivera--Heidi Gordo
168;Campaña de sensibilización contra el hurto ;Realizar sensibilización contra el hurto en el sector comercio;Hugo ortiz
169;Campaña sensibilización transporte público;Realizar sensibilización a los usuarios de transmilenio sobre prevención de hurto y el pago de pasaje.;Román Gonzalez
170;Campaña de sensibilización transporte público;Sensibilizar a los usuarios de transporte público sobre prevención de hurto y el pago del pasaje.;Ana Aponte
171;Convocatoria perifoneo en barrio Horacio Orjuela ;Perifoneo ;Francisco Rodríguez Peñaloza, Heidi Gordo 
172;Aniversario colegio la victoria ;Aniversario del colegio la victoria sede a donde el euipo de justicia social realizara sensibilizaciones en temas de convivencia y seguridad ;DANIEL GALVIS 
173;Justicia al barrio ;Asesorías jurídicas a la comunidad ;Francisco Rodríguez Peñaloza 
174;Sensibilización ley 1801/2016 y recepción de problemáticas en la comunidad ;Sensibilización en convivencia pacífica ;Francisco Rodríguez Peñaloza 
175;Megatoma ;Acompañamiento en estación de transmilenio , a requisas, sensibilizacion frente a hurto a celulares, personas;Hector Lopez
176;Campaña prevencion a la extorsión ;Sensibilizar a la comunidad sobre como prevenir la extorsion y acudir a las líneas respectivas.;Alexander Alarcon
177;Justicia al barrio ;Asesorías jurídica a la comunidad en atención a la Ley 1801/2016;Francisco Rodríguez Peñaloza 
178;Campaña de sensibilización contra las riñas entorno escolar;Sensibilizar a lla estudiantes a la salida del colegio, para evitar las riñas y haya una sana convivencia.;Javier Fernández 
179;Sensibilización ley 1801 de 2016 Propiedad Horizontal;Sensibilizar la ley 1801 del 2016 en los conjuntos ;Yuri Carolina Esterling
180;Sensibilización consumo SPA;Sensibilización alrededor del parque sobre el no consumo de SPA. ;Hector Lopez
181;Plan seguridad y requisa;Se visita una zona con problemas de inseguridad y se hace sensibilización y requisas;Luis Borda 
182;CAMPAÑA PREVENTIVA TEMA MUJER;Realizar froms atraves de un froms, recibiendo problematicas de la mujer;Cistina Rondon
183;CAMPAÑA SENSIBILIZACION  HURTO A COMERCIO;Sensibilizar a el comercio de las brisas sobre las modalidades de hurto y donde deben acudir;Hector Lopez
184;CAMPAÑA DE SENSIBILIZACION CONSUMO SPA ;Sensibilización alrededor del parque sobre el consumo de SPA ;Vivian Valvuena
185;Convocatoria a justicia al barrio ;Invitación para asesorías jurídica con casa justicia móvil ;Francisco Rodríguez Peñaloza 
186;PLAN GUITARRA;Sensibilizacion en transporte publico sobre prevencio del hurto;Fabian Delgado
187;CAMPAÑA TEMA MUJER;Realizar encuestas atraves de un froms que permita conocer las problematicas de la mujer;Fabian Delago
188;PLAN MOCHILA COLEGIO LOS ALPES;Acompañamiento a estudiantes, a las afueras de el colegio frente al consumo de SPA.;Héctor Lopez
189;PLAN GUITARRA LA BELLEZA;Sensibilizar a usuarios del sitp modalidades de hurto ;Javier Fernandez
